"Project","Gitignore","README","CHANGELOG","SemVer","EnvExample","Dockerfile","DockerCompose","CI","CentralConfig","RetryBackoff","FallbackChain","AsyncNonBlocking","ProgressTracking","ErrorClassification","CacheStrategy","StreamingZeroDisk","PortControl","DbRobustness"
".aider.tags.cache.v4","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
".claude","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False"
"ArtistMusicDownloader","True","True","True","True","True","False","False","True","False","False","False","True","True","True","False","True","False","False"
"awesome","False","True","True","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False"
"BandoneonOnline","True","True","True","False","False","False","False","False","True","False","True","True","False","False","True","False","False","False"
"BandoneonSeparator","True","True","True","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False"
"build-your-own-x","False","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"camofox-browser","True","True","False","True","False","True","False","True","False","False","True","True","False","True","True","True","False","False"
"checkpoints_tier12","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"CompleteStemSeparator","True","True","True","False","False","False","False","False","True","True","True","True","False","True","True","True","True","False"
"CultsDL","True","True","False","True","False","False","False","False","True","False","False","True","False","True","True","False","False","False"
"Datacamp","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","True","False","False"
"DeepSeek-V2","False","True","False","False","False","False","False","False","False","False","True","False","False","True","True","True","False","True"
"dev-standards","False","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"easydiffusion","True","True","True","False","False","False","False","False","False","False","True","True","True","True","True","True","True","False"
"easydiffusion-run","False","False","False","False","False","False","False","False","False","True","True","True","True","True","True","True","True","True"
"FailedSourcesNotebook","True","True","True","False","False","False","False","False","True","False","True","False","True","True","True","True","False","False"
"FreeNewsForAll","True","True","True","False","True","False","False","False","False","True","True","True","False","True","True","True","False","False"
"FreeSimulation","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"gemma-translator","True","True","False","False","False","False","False","False","False","False","False","True","False","True","True","True","False","False"
"GoogleChromeOSFlexLucio","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"hyperframes","False","False","False","False","False","False","False","False","False","True","False","True","True","True","True","True","False","False"
"leanctx","True","True","True","True","True","True","False","True","True","False","True","True","False","True","True","True","True","True"
"LeanMasterCompanion","True","True","True","False","False","False","False","False","False","False","False","True","False","True","True","True","True","False"
"LocalCoursesIndexer","True","True","True","False","False","False","False","False","False","False","True","True","True","True","True","True","False","True"
"LocalProjectsTracker","True","True","True","False","True","False","False","False","False","False","True","False","False","True","True","True","False","True"
"LocalSongsSearchInWeb","True","True","True","False","True","False","False","False","False","False","True","False","False","True","True","True","False","True"
"LofiHorizon","True","True","True","True","True","False","False","True","True","False","False","True","True","True","True","True","False","False"
"LofiMusicGeneration","False","False","False","False","False","False","False","False","True","False","False","False","True","True","True","True","False","False"
"magic-compact","True","True","True","False","False","False","False","True","False","False","False","True","True","False","True","True","True","False"
"ManualsVault","True","True","True","False","False","False","False","True","False","False","True","False","False","True","True","True","False","True"
"ManualsVault-backup-mirror-20260916-162400.git","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"MoneyPrinterTurbo","False","False","False","False","False","False","False","False","True","False","True","True","False","True","True","True","True","True"
"MusicFolderSorter","True","True","True","False","True","False","False","False","False","False","True","False","False","True","True","True","False","True"
"nova-youtube-agent","True","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"OfflineLucio","True","True","True","False","False","False","False","False","False","False","False","False","True","True","True","True","False","False"
"OmniRoute","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","False","True"
"open-generative-ai","False","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"OpenMontage","False","True","True","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False"
"OpenTEATalk","True","True","True","True","False","False","False","False","False","False","True","True","False","True","True","True","False","False"
"PiazzollaGenerator","True","True","True","False","False","False","False","False","False","False","True","False","False","True","True","True","False","True"
"PiazzollaMidiGenerator","True","True","True","False","False","False","False","False","True","False","False","False","False","False","False","True","False","False"
"PlatziDownloader","True","True","True","False","False","False","False","False","False","False","True","True","True","True","True","True","True","False"
"PST-IndexSearch","True","True","True","False","False","False","False","False","False","False","True","True","True","True","True","True","False","True"
"pxpipe","True","True","True","True","False","True","False","True","False","False","True","True","True","True","True","True","True","True"
"RadarTheNewThing","True","True","True","False","False","False","False","True","True","False","True","False","False","False","True","True","False","False"
"SeriesTracker","True","True","True","True","False","False","False","False","False","False","True","True","True","True","True","False","False","False"
"StoreWishesPurchases","True","True","False","True","False","False","False","False","True","True","True","True","True","True","True","True","True","True"
"StremioSpeed","True","True","True","True","True","True","True","False","False","True","True","True","False","True","True","True","False","False"
"tango-stem-separator","True","True","True","False","False","False","False","False","False","False","False","False","True","True","True","True","False","False"
"TechnicalExtraction","True","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"TemuFavoritesDelete","True","True","True","True","False","False","False","False","False","False","True","True","True","True","True","True","True","False"
"venv","False","False","False","False","False","False","False","False","False","False","False","False","True","True","True","True","False","False"
"voicebox","True","True","True","True","False","True","True","True","True","False","False","False","False","False","False","False","False","False"
"VUZA-Free-AI-Video-Creator-and-Pinterest-Video-Scraper","True","True","True","False","False","False","False","False","False","True","True","True","True","True","True","True","False","True"
"youtube-transcript-processor-private","True","True","True","False","False","False","False","True","False","False","True","True","True","True","True","True","True","False"
"youtubepro","True","True","True","True","True","False","False","True","False","False","True","False","False","True","False","False","False","False"
"YTTranscript","True","True","True","False","True","True","True","True","False","True","True","True","True","True","True","True","False","False"
